event,etype,description,plant,plant_bus,ptype,verdict,v_margin_pu,f_margin_hz,severity,fail_msg
E8_HVRT_1p20_500ms,hVRT,Capacitor-bank switching overvoltage 1.20 pu for 500 ms,Solar-31,31,solar,PASS,0.0,0.0,1.8,
E8_HVRT_1p20_500ms,hVRT,Capacitor-bank switching overvoltage 1.20 pu for 500 ms,Solar-30,30,solar,PASS,0.0,0.0,1.8,
E8_HVRT_1p20_500ms,hVRT,Capacitor-bank switching overvoltage 1.20 pu for 500 ms,Wind-37,37,wind,PASS,0.0,0.0,1.8,
E9_HVRT_1p30_200ms,hVRT,Light-load overvoltage 1.30 pu for 200 ms,Wind-39,39,wind,FAIL-HVRT,0.1,0.0,5.67,t=0.161s V=1.300>max 1.200
E9_HVRT_1p30_200ms,hVRT,Light-load overvoltage 1.30 pu for 200 ms,Wind-32,32,wind,FAIL-HVRT,0.1,0.0,5.67,t=0.161s V=1.300>max 1.200
E9_HVRT_1p30_200ms,hVRT,Light-load overvoltage 1.30 pu for 200 ms,Solar-31,31,solar,FAIL-HVRT,0.1,0.0,5.67,t=0.161s V=1.300>max 1.200
E9_HVRT_1p30_200ms,hVRT,Light-load overvoltage 1.30 pu for 200 ms,Solar-30,30,solar,FAIL-HVRT,0.1,0.0,5.67,t=0.161s V=1.300>max 1.200
E9_HVRT_1p30_200ms,hVRT,Light-load overvoltage 1.30 pu for 200 ms,Wind-37,37,wind,FAIL-HVRT,0.1,0.0,5.67,t=0.161s V=1.300>max 1.200
E10_UF_ramp_57p5,ufrt,Under-frequency ramp 60→57.5 Hz over 5 s (gen trip),Wind-39,39,wind,PASS,0.0,0.0,1.6,
E10_UF_ramp_57p5,ufrt,Under-frequency ramp 60→57.5 Hz over 5 s (gen trip),Wind-32,32,wind,PASS,0.0,0.0,1.6,
E10_UF_ramp_57p5,ufrt,Under-frequency ramp 60→57.5 Hz over 5 s (gen trip),Solar-31,31,solar,PASS,0.0,0.0,1.6,
E10_UF_ramp_57p5,ufrt,Under-frequency ramp 60→57.5 Hz over 5 s (gen trip),Solar-30,30,solar,PASS,0.0,0.0,1.6,
E10_UF_ramp_57p5,ufrt,Under-frequency ramp 60→57.5 Hz over 5 s (gen trip),Wind-37,37,wind,PASS,0.0,0.0,1.6,
E11_OF_ramp_62p0,ofrt,Over-frequency ramp 60→62.0 Hz over 3 s (load rejection),Wind-39,39,wind,PASS,0.0,0.0,1.4,
E11_OF_ramp_62p0,ofrt,Over-frequency ramp 60→62.0 Hz over 3 s (load rejection),Wind-32,32,wind,PASS,0.0,0.0,1.4,
E11_OF_ramp_62p0,ofrt,Over-frequency ramp 60→62.0 Hz over 3 s (load rejection),Solar-31,31,solar,PASS,0.0,0.0,1.4,
E11_OF_ramp_62p0,ofrt,Over-frequency ramp 60→62.0 Hz over 3 s (load rejection),Solar-30,30,solar,PASS,0.0,0.0,1.4,
E11_OF_ramp_62p0,ofrt,Over-frequency ramp 60→62.0 Hz over 3 s (load rejection),Wind-37,37,wind,PASS,0.0,0.0,1.4,
E12_OF_ramp_63p0,ofrt,Severe over-frequency 60→63.0 Hz (large load rejection),Wind-39,39,wind,PASS,0.0,0.0,1.4,
E12_OF_ramp_63p0,ofrt,Severe over-frequency 60→63.0 Hz (large load rejection),Wind-32,32,wind,PASS,0.0,0.0,1.4,
E12_OF_ramp_63p0,ofrt,Severe over-frequency 60→63.0 Hz (large load rejection),Solar-31,31,solar,PASS,0.0,0.0,1.4,
E12_OF_ramp_63p0,ofrt,Severe over-frequency 60→63.0 Hz (large load rejection),Solar-30,30,solar,PASS,0.0,0.0,1.4,
E12_OF_ramp_63p0,ofrt,Severe over-frequency 60→63.0 Hz (large load rejection),Wind-37,37,wind,PASS,0.0,0.0,1.4,
