response_time_s,fleet_size,shed_MW,reduction_MW,n_uvls_events
0.1,10000,128.7672,0.7165200000000027,4
0.1,25000,128.7672,0.7165200000000027,4
0.1,50000,90.36720000000001,39.116519999999994,3
0.1,75000,26.880000000000003,102.60372000000001,1
0.1,100000,26.880000000000003,102.60372000000001,1
0.5,10000,128.7672,0.7165200000000027,4
0.5,25000,128.7672,0.7165200000000027,4
0.5,50000,46.519200000000005,82.96452,2
0.5,75000,26.880000000000003,102.60372000000001,1
0.5,100000,26.880000000000003,102.60372000000001,1
1.0,10000,128.7672,0.7165200000000027,4
1.0,25000,84.9192,44.56452,3
1.0,50000,46.519200000000005,82.96452,2
1.0,75000,26.880000000000003,102.60372000000001,1
1.0,100000,26.880000000000003,102.60372000000001,1
2.0,10000,128.7672,0.7165200000000027,4
2.0,25000,128.7672,0.7165200000000027,4
2.0,50000,46.519200000000005,82.96452,2
2.0,75000,26.880000000000003,102.60372000000001,1
2.0,100000,26.880000000000003,102.60372000000001,1
5.0,10000,128.7672,0.7165200000000027,5
5.0,25000,84.9192,44.56452,3
5.0,50000,46.519200000000005,82.96452,2
5.0,75000,26.880000000000003,102.60372000000001,1
5.0,100000,26.880000000000003,102.60372000000001,1
