relay_idx,R2,MAPE_pct,sMAPE_pct,RMSE,MaxError,MeanTrue,StdTrue,case
8,0.8190769944260411,33.094130951341846,25.647418851506217,0.11168162788344885,0.8220181531986009,0.34397858316859403,0.2625637936990197,IEEE39
12,0.520408479278416,175.33531395609964,104.27701286661268,0.19886641494982377,0.9480256696945315,0.07081894074140077,0.2871611583734594,IEEE39
17,0.528399720928333,101.25989665670352,58.18146609046488,0.161246662715729,0.7740573499391215,0.28061420199334375,0.23480303609005032,IEEE39
18,0.6548903413618206,49.51301145118001,23.364463778886098,0.14893515181232325,1.1691555543115402,0.613914396136256,0.2535237530756454,IEEE39
22,0.5615645128134115,43.971227274623004,23.901743148771796,0.16619841786656014,1.056236093296931,0.6500696367139733,0.2510001816177606,IEEE39
24,0.5803854593263686,102.41524120166609,36.21264402632845,0.156919015609143,0.8146639929032227,0.389206442325751,0.24224248359609124,IEEE39
27,0.5870775212690893,114.4984827551675,60.33545563913816,0.17267704678451315,0.5995566257688744,0.30082311386480637,0.2687202220241176,IEEE39
34,0.7107373529704724,148.31172122281103,48.994490251797984,0.1158489973691818,0.4734788204746463,0.27652010411694994,0.21540019961730716,IEEE39
37,0.7408770525150861,98.0874083674976,37.56512179973784,0.13386897028187592,0.8248953221405803,0.32451435083355146,0.26298258215681264,IEEE39
44,0.8384493551402343,4.269759565337584,4.217121246115817,0.062008829067545596,0.41371014268932993,0.875284483062466,0.1542762885907943,IEEE39
6,-0.4277549481584786,33.83774310925088,29.594990545814337,0.14567661902305146,0.7447651002792811,0.4191350997106171,0.12191664881122814,IEEE118
7,-0.18494265720065228,17.165226518321997,16.658634570278572,0.1176719887471965,0.7406371186012176,0.4107116915060906,0.10809968448998361,IEEE118
8,-0.5669049565663709,43.53948200833727,34.448004682786554,0.17259195127439309,0.670734907741148,0.4253537165144326,0.13787934499692414,IEEE118
35,0.2972704090161796,10.75391855806862,11.456231121014284,0.09581533735871754,0.9291409941857129,0.40545850142462136,0.11429860036885489,IEEE118
37,-0.19045312848448392,141.67406006727407,36.195970419297936,0.17967969016532365,1.3547639970852965,0.4033324656175667,0.16468075131725768,IEEE118
50,-0.23822568200493976,13.269269381445767,12.21172118108329,0.0813030178486632,0.5065939978618383,0.40566204255725574,0.07306455819208625,IEEE118
95,-0.2537540051011724,150.54082292056725,48.12960455340799,0.19948534929198267,1.2455763678124303,0.369772704805068,0.1781577990531174,IEEE118
96,-0.112717453057811,33.45169702435933,27.86013785853447,0.14137308783101593,0.865214698337309,0.40372065488682674,0.13402144428764348,IEEE118
140,-0.27478308747264424,114.31912841399185,43.98218173773064,0.2028811521355636,0.7498793033374078,0.4178514426010085,0.179689854067286,IEEE118
182,0.10339599158911983,9.337597330756774,9.979259005676,0.07139860640900662,0.3743997501348727,0.40952184826072946,0.0754031340175627,IEEE118
