case,n_test_samples,n_test_violations_true,n_test_violations_pred,TP,FP,FN,TN,precision,recall,F1
IEEE39,887,777,518,367,151,410,7942,0.7084942084942085,0.4723294723294723,0.5667953667953668
IEEE118,391,24,12,2,10,22,3876,0.16666666666666666,0.08333333333333333,0.1111111111111111
