hour_idx,timestamp,violation_count,wind_pu,solar_pu,load_pu,wind_ramp
2774,2017-04-26 14:00:00,10.966666666666667,0.0,0.6187165806773147,1.22754365566304,-8.359263159777866
1679,2017-03-11 23:00:00,10.9,0.0,0.0,0.8455379906851701,-118.14781627515735
3942,2017-06-14 06:00:00,10.2,0.03585450445336771,0.1822439182692632,0.9884913056763796,35.85450445336771
4599,2017-07-11 15:00:00,7.533333333333333,0.00010156174473463494,0.47329700454124046,1.4148963196490485,0.10148568193182983
8176,2017-12-07 16:00:00,6.6,0.01280751435233014,0.10521745628401603,1.3605790444951054,-239.22658034640185
1022,2017-02-12 14:00:00,6.533333333333333,0.0,0.42458844690146824,1.384198691736458,-1000.0
8249,2017-12-10 17:00:00,6.266666666666667,0.006625209992581015,0.0,1.3444948484446528,-24.35931690225886
8103,2017-12-04 15:00:00,6.066666666666666,0.0029365319262330356,0.24469078515703524,1.3610365837880785,-997.063468073767
7008,2017-10-20 00:00:00,5.733333333333333,1.0,0.0,0.7371372446274387,992.8173039326729
1095,2017-02-15 15:00:00,5.6,0.0021383090730885354,0.3404760859352612,1.3866729654613434,-5.106244220435818
